Rank,Stocks (5218),Sub-Sector,?Market Cap,Alpha,Beta,5Y CAGR,Debt to Equity,EPS (Q),PE Ratio,PB Ratio,,,,,,,,,
137,WAAREEENER,Renewable Energy Equipment & Services,"64,946.11",-,-,-,0.13,18.41,52.49,15.66,,,,,,,,,
138,AUROPHARMA,Pharmaceuticals,"64,768.09",16.61,0.98,13.21,0.22,14.56,20.41,2.17,,,,,,,,,
139,ATGL,Gas Distribution,"63,981.45",-21.09,2.21,25.77,0.43,1.29,95.85,17.87,,,,,,,,,
140,OIL,Oil & Gas - Exploration & Production,"63,828.09",36.2,1.02,36.29,0.46,8.23,10.08,1.21,,,,,,,,,
141,LLOYDSME,Iron & Steel,"62,368.96",-,-,169.73,0.01,7.55,50.18,22.19,,,,,,,,,
142,ABBOTINDIA,Pharmaceuticals,"61,499.62",15.44,0.2,13.26,0.02,169.78,51.2,16.63,,,,,,,,,
143,GODREJPROP,Real Estate,"59,976.18",-0.87,1.74,12.36,1.04,5.7,82.69,5.82,,,,,,,,,
144,NMDC,Mining - Iron Ore,"59,546.98",17.05,0.75,14.11,0.13,2.14,10.69,2.32,,,,,,,,,
145,IRCTC,Online Services,"58,488.00",-11.97,1.48,13.63,0.02,4.26,52.64,18.11,,,,,,,,,
146,OBEROIRLTY,Real Estate,"57,514.60",11.87,1.23,25.02,0.18,17.01,29.85,4.15,,,,,,,,,
147,IDEA,Telecom Services,"57,400.00",-10.25,1.03,12.81,-,-0.95,-1.84,-0.55,,,,,,,,,
148,BERGEPAINT,Paints,"57,271.46",-11.93,0.7,0.58,0.14,2.53,49.04,10.63,,,,,,,,,
149,PHOENIXLTD,Real Estate,"56,751.51",32.63,1.06,29.99,0.37,7.41,51.63,4.58,,,,,,,,,
150,YESBANK,Private Banks,"56,217.25",7.11,0.98,-12.74,0,0.2,43.74,1.33,,,,,,,,,
151,ALKEM,Pharmaceuticals,"55,014.85",9.01,0.73,11.59,0.13,52.34,30.64,5.13,,,,,,,,,
152,LTTS,Software Services,"54,242.18",-4.4,1.19,24.06,0.12,30.47,41.61,10.14,,,,,,,,,
153,JSWINFRA,Ports,"53,749.05",-,-,-,0.58,1.59,46.5,6.53,,,,,,,,,
154,UBL,Alcoholic Beverages,"53,393.98",3.92,0.74,9.77,0.02,1.45,130.22,12.76,,,,,,,,,
155,LINDEINDIA,Commodity Chemicals,"52,576.02",25.18,1.05,51.21,0.01,13.64,121.12,15.16,,,,,,,,,
156,PRESTIGE,Real Estate,"52,389.72",29.08,1.33,27.2,1.14,0.41,38.13,4.44,,,,,,,,,
157,BALKRISIND,Tires & Rubber,"52,359.96",7.37,1.01,16.42,0.35,23.25,35.58,5.91,,,,,,,,,
158,TIINDIA,Cycles,"51,965.69",15.87,1.64,39.64,0.13,10.01,43.28,7.7,,,,,,,,,
159,JSL,Iron & Steel,"51,514.07",35.72,1.38,71.97,0.42,7.95,18.99,3.58,,,,,,,,,
160,SUNDARMFIN,Consumer Finance,"51,217.91",25.5,0.98,23.08,4.72,41.33,35.67,4.62,,,,,,,,,
161,UPL,Fertilizers & Agro Chemicals,"50,985.02",-6.51,1.29,2.88,0.91,9.98,-42.49,1.56,,,,,,,,,
162,BHARATFORG,Iron & Steel,"50,627.20",7.44,1.45,16.93,1.11,4.54,53.23,7.07,,,,,,,,,
163,COROMANDEL,Fertilizers & Agro Chemicals,"50,336.17",22.5,0.48,22.49,0.05,17.39,30.65,5.33,,,,,,,,,
164,COFORGE,IT Services & Consulting,"50,129.41",11.38,0.99,32.23,0.19,32.26,62.04,13.45,,,,,,,,,
165,KALYANKJIL,"Precious Metals, Jewellery & Watches","50,050.40",71.28,0.91,-,1.07,2.12,83.79,11.95,,,,,,,,,
166,SCHAEFFLER,Auto Parts,"49,994.51",15.4,0.62,28.04,0.01,15.1,55.61,10.4,,,,,,,,,
167,HEXT,IT Services & Consulting,"49,672.96",-,-,-,0.02,3.18,49.79,10.72,,,,,,,,,
